# AF3,F7,F3,FC5,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,MARKER
-6.120819409475041924e-08,4.723930389868013752e-06,1.438153904020748625e-06,6.094286504921031859e-06,2.226134360265514630e-06,-1.978499926756689404e-06,-6.588950899519341114e-06,-5.331926544594491216e-06,-2.729710267795831889e-06,-3.215739665827435011e-07,4.970258850995652603e-06,9.260160741588465631e-06,6.250271828793777429e-06,0.000000000000000000e+00
7.374647356374464718e-06,5.183039624628065535e-06,4.897870946822305091e-06,5.671887182421604876e-06,6.247019102769520660e-06,5.293969095902959002e-06,-1.509471860837720562e-06,1.653501295490959423e-06,8.134902526894028754e-06,1.276438612039367950e-05,1.266723749599450709e-05,1.982007773861295763e-05,1.300055563591974034e-05,0.000000000000000000e+00
5.582272121767002616e-06,-9.427222110322687661e-07,1.734117898832681209e-06,1.252705822842753562e-06,-2.475824156557557358e-06,2.496084623483640496e-06,-4.280375133897916789e-06,-4.980419806210417651e-07,5.272865328450448269e-06,3.701744953078505528e-06,1.005075139391165198e-05,1.128592750743877382e-05,1.087515526054780119e-05,0.000000000000000000e+00
2.268290981918067409e-06,-4.166840085450482613e-07,1.643724954604406211e-06,3.530105149919870927e-07,-1.081260420691233055e-05,-1.115248607919431821e-05,-1.196542178072785504e-05,-4.223078472571907438e-06,2.393707269398033545e-06,-2.829705012588693149e-06,6.949250199130236378e-06,9.004103822384987063e-06,9.404781293965059309e-06,0.000000000000000000e+00
7.146553627832464749e-06,4.157969645227744016e-06,1.281600127107651825e-05,4.656298919661247064e-06,-9.752751435111002974e-06,-1.349203385214007059e-05,-9.624697413595787918e-06,-1.788022905317768694e-06,1.128228740215152424e-05,5.199298590066374875e-06,1.054225498283360093e-05,1.739726068665599078e-05,1.240965768673228369e-05,0.000000000000000000e+00
8.410634355687810019e-06,3.703557180132757266e-06,1.425208272373540374e-05,4.223225246051725720e-06,-8.895035532158380867e-06,-8.166045369649800451e-06,-6.056202645914397365e-06,-8.965342565041576913e-07,1.554395495536735981e-05,4.624151178759438997e-06,8.399429105058366091e-06,1.102014690775921486e-05,1.093775685206378612e-05,0.000000000000000000e+00
4.652238338292523735e-06,2.111352263675902189e-06,3.939997328145261933e-06,9.202760311284023412e-07,-1.035187783016707999e-05,-1.045337756923780704e-05,-6.200105909819180266e-06,-2.002232191958494923e-06,1.174740411535820786e-05,-3.026394575417716689e-06,5.413098718242162174e-06,4.488856168459615799e-07,8.832205761806670923e-06,0.000000000000000000e+00
2.212371229114222302e-06,-4.202065857938466123e-07,-1.871394215304801915e-06,-3.206123126573588612e-06,-1.159019378347447187e-05,-2.059625269398031091e-05,-9.917096598764020367e-06,-6.313194085603112448e-06,5.566773435568781874e-06,-5.838377084000915817e-06,4.731806614785993017e-06,2.203791256580469474e-07,6.825901097123678039e-06,0.000000000000000000e+00
3.714846692607012146e-06,1.646372066834519645e-06,3.786912503242538402e-06,-1.280165204852370765e-06,-6.374698356603334473e-06,-1.612166814373998101e-05,-7.896327360952163540e-06,-6.310043949034866219e-06,5.046013925383384114e-06,-1.574961249713894079e-06,5.369301368734265204e-06,3.975340402838179438e-06,9.349814042877854512e-06,0.000000000000000000e+00
9.854246921492341163e-06,1.080624710612650137e-05,1.584416490272372847e-05,1.143451187457083757e-05,7.275913975738162593e-06,3.878346884870685518e-06,7.758510688944838296e-06,6.740971853208209793e-06,1.508597193408102559e-05,1.145538316777294305e-05,1.701452996566719987e-05,1.455632537422751285e-05,2.015851322194247555e-05,0.000000000000000000e+00
1.300488352025636059e-05,1.399770209353780802e-05,1.744645273670557276e-05,1.542824409704737638e-05,1.396282012359808637e-05,9.442206312657364502e-06,1.805831025864041971e-05,1.701671733882658140e-05,1.983843749141680059e-05,1.671309865415426387e-05,2.268547566491187811e-05,1.928851653925383632e-05,2.215260294193942207e-05,0.000000000000000000e+00
5.719128358892204122e-06,4.600640186160070938e-06,4.870169883268478626e-06,5.615465612268251147e-06,1.027336700389105793e-05,5.837881318379497691e-06,1.316559928587777394e-05,1.419419497367818694e-05,1.234806097505150298e-05,8.301567763790337128e-06,9.340261057450219019e-06,5.816357239642940691e-06,1.144925766079194695e-05,0.000000000000000000e+00
-7.474990157930869921e-06,-9.035256343938349291e-06,-6.337097250324256750e-06,-3.270169233234151813e-06,6.077661185626009413e-06,9.833823112840472426e-06,5.505046811627373902e-06,7.473378605325398391e-06,2.773219679560542159e-06,-1.975122774090182934e-06,-7.181072451361865886e-06,-3.853842993820094602e-06,-1.458885136186767371e-06,0.000000000000000000e+00
-1.013853627832455178e-05,-1.027168095826657145e-05,-4.520490661478601637e-06,-6.747770061799060953e-07,7.153903433279934524e-06,1.194420253604944451e-05,7.349764184023803334e-06,8.883064719615471234e-06,-5.753353078507643243e-07,-5.052975312428474120e-06,-8.566366395056075291e-06,1.195988400091556133e-06,-6.964771453421832889e-06,0.000000000000000000e+00
-4.409704760814824316e-06,-3.192260379949605326e-07,1.636435201037609973e-06,6.730172849622335896e-06,6.383598068207835991e-06,5.589857344930196232e-06,8.819414538796064231e-06,1.123936687266346102e-05,-1.511275687800409755e-06,-1.180225644312200888e-06,1.430784161135272390e-06,1.730790826276037642e-06,5.642150774395391489e-07,0.000000000000000000e+00
-7.020274273289075085e-06,-2.057030814068814365e-06,-7.374098573281794952e-08,4.790490762188140704e-06,-5.711835111009377593e-06,-2.958992359807730496e-06,-4.598799377431906847e-06,5.068515846494243869e-07,-3.727000398260469007e-06,-4.979163332570397581e-07,2.670086939803159409e-06,-4.495605905241472498e-06,5.859393598840317705e-06,0.000000000000000000e+00
-8.028301396200496350e-06,-1.163491835355153381e-05,-1.662907263294425877e-06,8.836782558937952064e-07,-1.070516208743418805e-05,-5.806191540398256053e-06,-1.296968285648889911e-05,-8.034743720149538276e-06,-2.228925094987408891e-06,-1.878812712291143294e-06,-1.459204211490031714e-07,-1.382407539482717746e-06,2.602583971923402980e-06,0.000000000000000000e+00
5.310031219958809788e-06,-6.634032852674140482e-06,6.909842931258101405e-06,8.669854937056532782e-06,3.930639848935690855e-06,3.112518475623718271e-06,-1.719203213550011630e-06,5.395863538567177451e-06,6.412829297322044159e-06,7.567712222476536561e-06,1.075637535820553998e-05,9.269884422064547717e-06,1.095913300526436576e-05,0.000000000000000000e+00
1.349786028839552364e-05,6.271730495155298409e-07,1.556861221789882738e-05,1.815935307392995627e-05,1.274271469901580060e-05,1.154678400549325315e-05,1.668647031357289541e-06,1.632526236209659039e-05,1.607042141908904116e-05,2.211053155413137588e-05,2.807579390249484924e-05,1.807629770656900961e-05,2.723707366750591663e-05,0.000000000000000000e+00
9.914581391622806234e-06,5.661150438696918275e-07,1.591414653696497642e-05,1.454532276951247124e-05,6.339892799267575051e-06,4.003084087891971677e-06,-9.656846015106430718e-06,3.557758850995651304e-06,1.600907166857404852e-05,2.325268749828335318e-05,2.956490378576333435e-05,2.098043694209201094e-05,2.935025909819180689e-05,0.000000000000000000e+00
1.045612005035478169e-05,4.691053002212561488e-06,1.385843603112839929e-05,8.805571686884866537e-06,-1.703712199587929999e-07,-3.881467489127941082e-06,-1.133928949416342422e-05,-3.865537972075989634e-06,7.213229530785077570e-06,1.487642508125428714e-05,1.888321687800412031e-05,1.393238921034561849e-05,2.215871041428244822e-05,0.000000000000000000e+00
1.039431400778210982e-05,4.177930916304268817e-06,1.056346741893644059e-05,6.077512524605170260e-06,-6.653319446097497646e-06,-6.403769768825812251e-06,-7.873364074158845560e-06,-3.468354253452350402e-07,4.619034973678210992e-07,7.653170446326387625e-06,1.099644971847104816e-05,-5.850657404440359949e-07,1.391820335545891948e-05,0.000000000000000000e+00
7.421737674525072015e-06,-2.004192155336838994e-06,9.579350687418931144e-06,4.460298603799474805e-07,-4.883256054016930858e-06,-7.530755893797201947e-06,-3.337349489585717416e-06,-1.008364104676889832e-06,4.030176195925843555e-06,7.630110290684364362e-06,8.598950363927673662e-06,-1.029113815518423184e-06,9.363555855649655712e-06,0.000000000000000000e+00
6.780132089723058173e-06,-2.469172352178221750e-06,1.035498046692606540e-05,-1.325912423895630345e-06,6.496503346303509309e-06,2.687541725795382308e-06,8.274419198901349255e-06,2.956082766460670210e-06,1.002247740901808317e-05,1.054111582055390022e-05,1.094616387273975764e-05,1.582202444953078764e-05,1.133779629053177998e-05,0.000000000000000000e+00
5.382138269626925836e-06,-1.514553917753867675e-06,7.315153229571980518e-06,1.778798841840235665e-06,9.867272213321134179e-06,9.796111865415433508e-06,1.283186618448157387e-05,1.051011025711451865e-05,7.500003945983065163e-06,6.984425932707710468e-06,9.015836246280615787e-06,9.587524650949876676e-06,8.311543744563975957e-06,0.000000000000000000e+00
5.769161821927223317e-06,1.128553211261161942e-06,1.069468298313877541e-05,7.198319391165023095e-06,9.421114259555970878e-06,4.631121400778215891e-06,1.011607479972533736e-05,1.451550890363927692e-05,2.661934085603115155e-06,7.853929448386355849e-06,4.799935825131610525e-06,-1.437810649576562120e-05,4.195107385366600809e-06,0.000000000000000000e+00
3.286619111924934127e-06,2.046771680781265719e-06,1.270665496757457257e-05,5.638339221789880831e-06,3.568250327306027195e-06,9.600765072098934275e-07,5.892360915541313664e-06,9.676899134813458339e-06,-1.857973115129317821e-06,1.037969473105973569e-05,6.829849713893351720e-07,-1.721742119478141596e-05,4.143193870450906542e-06,0.000000000000000000e+00
-5.950441107804981954e-06,-5.513853287556263804e-06,-7.210711024643354791e-07,-6.794230006866561187e-06,-1.325099400320438758e-05,-4.162851412222470580e-06,-5.932200897230487730e-06,-1.050890948348210540e-06,-3.132050492103453245e-06,6.198229755092680704e-07,-8.001867223620963873e-06,-1.538288681162737300e-05,-1.388649204242005050e-06,0.000000000000000000e+00
-1.114656340123597474e-05,-1.027872611276416794e-05,-8.560472088197150308e-06,-1.099382471503776715e-05,-1.963924747997252925e-05,-1.248398319981688616e-05,-1.745670909590295040e-05,-7.020399745174333753e-06,-4.611962371251978575e-07,-8.804998283360036644e-06,-1.171977555962462663e-05,-1.937445764705882046e-05,-8.218330151827265260e-06,0.000000000000000000e+00
-7.925291325246044369e-06,-7.050871160448611630e-06,-2.941530038910508784e-06,-6.467899844357978369e-06,-1.696776291599907773e-05,-1.759095636072327285e-05,-2.403339443350881245e-05,-1.564389860074769150e-05,-1.353154657358663069e-05,-7.137884678416113820e-06,-8.567988519111924739e-06,-9.801494218356600953e-06,-5.996737087052716866e-06,0.000000000000000000e+00
-1.493048180361630772e-06,1.481985128557263406e-06,-1.100138287937746294e-06,-8.134623524834060006e-06,-2.439037442435339130e-05,-2.281541456168458972e-05,-3.363051742732891045e-05,-2.776089891050583717e-05,-2.266267223163194973e-05,-6.969681190203708148e-06,-4.600273078507666431e-06,-9.707717326619346883e-07,1.504765818265051926e-06,0.000000000000000000e+00
7.495316296635394859e-06,9.345551740291451116e-06,4.026016420233459147e-06,-8.218493426413368849e-06,-2.378942697642480656e-05,-2.184072385900663417e-05,-3.088410832684824884e-05,-2.006511527428091646e-05,2.223925401693753153e-06,-5.697303190661478939e-06,3.638495001144427960e-06,8.459359029526227251e-07,9.320803549248496425e-06,0.000000000000000000e+00
1.129785948729687400e-05,4.552498297093160176e-06,1.410774560311283578e-05,-2.164611439688717921e-06,-6.575014172579530517e-06,-9.554109361409927634e-06,-8.263739949645227493e-06,2.308729701686122180e-06,1.405729355916685797e-05,6.702278146028836711e-06,1.179129050583657786e-05,1.492258400549325054e-05,1.438237125352865226e-05,0.000000000000000000e+00
5.931034790569933573e-06,-4.190323933775807777e-07,1.094253460440985172e-05,1.283203968871592929e-06,4.722797848477920282e-06,3.086410688944844522e-06,9.877256617074844607e-06,8.254612474250399732e-06,-3.550084838635840909e-06,1.004193127489127612e-05,7.620809558251317320e-06,1.965477517051956893e-05,9.207815310902573759e-06,0.000000000000000000e+00
6.829018081941762427e-08,1.996281406881822653e-06,1.164059169909205178e-06,1.771174305333025770e-06,8.193724623483642327e-06,1.347585935454338070e-05,1.714896410162508464e-05,6.271601504539558895e-06,-2.502858864728768157e-06,-2.633015449759671303e-06,-4.105525241474020276e-06,2.646437404440377014e-06,-3.885506080720195624e-07,0.000000000000000000e+00
-1.157773412680246593e-05,-7.630922214084072652e-06,-8.806865758754866443e-06,-4.596838585488672229e-06,2.989155513847569955e-06,1.417206699931335015e-05,1.422344136415655770e-05,2.765499504081788583e-06,3.993080997940033283e-06,-1.321491392996108796e-05,-1.605084678873884018e-05,-1.124384015564202123e-05,-1.140643071488517229e-05,0.000000000000000000e+00
-1.932556303501944782e-05,-1.592306905775539409e-05,-1.435145232166018245e-05,-1.018867365987640362e-05,-5.247466628519103944e-06,6.741500823987187972e-06,5.151412195010299720e-06,-5.720968410772868772e-06,-1.188223700160219574e-05,-1.552771189288166553e-05,-2.106645436942092094e-05,-1.324529772030212589e-05,-1.826206841992827773e-05,0.000000000000000000e+00
-1.065211506065460489e-05,-8.187489419394212322e-06,-6.999006874189367324e-06,-1.757461190203709668e-06,3.825018782330060322e-06,1.195870686198215309e-05,1.035030032501716517e-05,1.959064542610819102e-06,-2.181090941634241233e-05,-8.817206601052872389e-06,-1.097684274204623352e-05,-3.665851837949185557e-06,-1.043992321660181281e-05,0.000000000000000000e+00
